sep=,
DeviceTag:,scapula
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-06-22_10:01:07_605 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,406717301,-1.174775,-0.348034,10.380974,-7.410082,-12.981757,-9.019829,-0.021742,-0.040246,-0.022736,0.998696,
2,406733968,-1.124070,-0.423359,10.241372,-7.302537,-16.457989,-9.103317,-0.020421,-0.037886,-0.024073,0.998784,
3,406750635,-1.019530,-0.585279,10.091086,-5.367342,-18.816122,-9.153265,-0.019092,-0.035189,-0.025121,0.998884,
4,406767302,-0.844161,-0.647791,9.955503,-1.188406,-20.831806,-8.746317,-0.017807,-0.032212,-0.025554,0.998997,
5,406783969,-0.687680,-0.549179,9.893220,3.938518,-21.665415,-8.117449,-0.016592,-0.029129,-0.025237,0.999120,
6,406800636,-0.537745,-0.427170,9.869624,7.739053,-21.373009,-7.309137,-0.015477,-0.026100,-0.024364,0.999244,
7,406817303,-0.394756,-0.482016,9.916017,9.986725,-20.084238,-6.660083,-0.014444,-0.023266,-0.023165,0.999358,
8,406833970,-0.279956,-0.541014,9.971982,12.953666,-17.986679,-5.965182,-0.013494,-0.020745,-0.021537,0.999463,
9,406850637,-0.166297,-0.512133,10.152639,15.716357,-15.979856,-5.561219,-0.012589,-0.018522,-0.019509,0.999560,
10,406867304,-0.095675,-0.488096,10.406116,17.946566,-14.220069,-5.150135,-0.011732,-0.016560,-0.017159,0.999648,
11,406883971,-0.064938,-0.352703,10.627504,18.639120,-12.883686,-4.873632,-0.010911,-0.014794,-0.014709,0.999724,
12,406900638,-0.027931,-0.269641,10.671394,16.900993,-11.700821,-4.785996,-0.010103,-0.013196,-0.012514,0.999785,
13,406917305,0.042601,-0.366687,10.635994,14.554505,-10.214229,-5.004189,-0.009265,-0.011811,-0.010663,0.999832,
14,406933972,0.105928,-0.468755,10.603828,14.136631,-8.287663,-4.968741,-0.008430,-0.010705,-0.008875,0.999869,
15,406950639,0.186269,-0.370325,10.536337,15.085684,-5.859526,-4.441349,-0.007667,-0.009953,-0.006951,0.999898,
16,406967306,0.208012,-0.185545,10.501764,14.174006,-3.002041,-3.671084,-0.007015,-0.009617,-0.005162,0.999917,
17,406983973,0.171354,-0.113353,10.280612,11.895730,0.449420,-2.666553,-0.006509,-0.009781,-0.003706,0.999925,
18,407000640,0.169043,-0.044584,10.089010,8.717496,3.663404,-1.852426,-0.006124,-0.010409,-0.002714,0.999925,
19,407017307,0.130017,-0.035708,9.949400,5.784956,6.459237,-1.031052,-0.005863,-0.011441,-0.002150,0.999916,
20,407033974,0.060081,0.007392,9.951353,3.933363,8.524672,-0.070307,-0.005743,-0.012772,-0.001855,0.999901,
21,407050641,0.022610,0.138749,9.992903,1.674540,9.822839,0.540025,-0.005716,-0.014290,-0.001888,0.999881,
22,407067308,-0.016948,0.163401,10.053285,-1.516990,10.366712,1.246500,-0.005798,-0.015884,-0.002385,0.999855,
23,407083975,-0.098003,0.098051,10.094696,-4.887827,10.185707,1.745858,-0.005961,-0.017449,-0.003370,0.999826,
24,407100642,-0.176611,0.020102,10.261730,-7.258694,9.559747,2.085099,-0.006179,-0.018921,-0.004698,0.999792,
25,407117309,-0.218385,0.002595,10.429371,-9.216710,8.379230,2.351625,-0.006443,-0.020219,-0.006309,0.999756,
26,407133976,-0.248737,-0.066306,10.535240,-11.056009,6.581257,2.743986,-0.006769,-0.021255,-0.008184,0.999719,
27,407150643,-0.286065,-0.151472,10.538127,-12.341835,4.619183,2.998564,-0.007139,-0.022004,-0.010244,0.999681,
28,407167310,-0.306622,-0.245484,10.462563,-13.329051,2.708513,3.142200,-0.007536,-0.022474,-0.012444,0.999643,
29,407183977,-0.336353,-0.361112,10.328014,-13.062193,1.019674,3.244037,-0.007950,-0.022699,-0.014603,0.999605,
30,407200644,-0.345837,-0.436544,10.293569,-11.416585,-0.639626,3.433967,-0.008390,-0.022685,-0.016521,0.999572,
31,407217311,-0.403413,-0.446854,10.308768,-9.026252,-2.213041,3.717922,-0.008867,-0.022445,-0.018088,0.999546,
32,407233978,-0.421864,-0.443077,10.199348,-7.071245,-3.579952,3.893176,-0.009367,-0.022010,-0.019368,0.999527,
33,407250645,-0.446528,-0.484858,10.079694,-5.505143,-4.402811,3.872814,-0.009860,-0.021457,-0.020420,0.999514,
34,407267312,-0.394469,-0.607514,10.012568,-3.187514,-4.827803,3.988455,-0.010365,-0.020847,-0.021133,0.999507,
35,407283979,-0.387234,-0.616619,10.056476,-0.376571,-5.030758,3.951765,-0.010857,-0.020210,-0.021438,0.999508,
36,407300646,-0.352235,-0.627664,10.058066,2.105793,-5.055140,4.031868,-0.011352,-0.019575,-0.021382,0.999517,
37,407317313,-0.332813,-0.625047,10.152429,4.230521,-5.013200,4.212297,-0.011868,-0.018949,-0.021017,0.999530,
38,407333980,-0.332094,-0.664084,10.219044,5.406157,-4.849278,4.170356,-0.012374,-0.018350,-0.020481,0.999546,
39,407350647,-0.323976,-0.668574,10.314473,6.266757,-4.434737,3.958809,-0.012846,-0.017811,-0.019822,0.999564,
40,407367314,-0.287087,-0.666421,10.302903,6.694105,-3.952591,3.728883,-0.013282,-0.017343,-0.019101,0.999580,
41,407383981,-0.236412,-0.624036,10.331633,7.130456,-3.389586,3.361098,-0.013662,-0.016956,-0.018320,0.999596,
42,407400648,-0.190134,-0.561684,10.379175,7.177916,-2.769976,3.120607,-0.014005,-0.016659,-0.017534,0.999611,
43,407417315,-0.195046,-0.553943,10.301519,6.536561,-2.002734,2.957531,-0.014324,-0.016472,-0.016843,0.999621,
44,407433982,-0.164823,-0.538526,10.219017,5.701305,-1.105624,2.618086,-0.014593,-0.016412,-0.016276,0.999628,
45,407450649,-0.162193,-0.539165,10.196373,5.099610,-0.221166,2.321311,-0.014819,-0.016479,-0.015799,0.999631,
46,407467316,-0.180434,-0.466288,10.155818,4.449816,0.826298,1.934905,-0.014988,-0.016696,-0.015420,0.999631,
47,407483983,-0.195820,-0.421736,10.146653,3.585951,2.059331,1.746946,-0.015128,-0.017090,-0.015170,0.999626,
48,407500650,-0.220932,-0.396432,10.142046,2.508770,3.019757,1.597432,-0.015247,-0.017620,-0.015079,0.999616,
49,407517317,-0.263293,-0.382741,10.148739,1.278144,3.613997,1.297751,-0.015325,-0.018234,-0.015169,0.999602,
50,407533984,-0.320537,-0.378997,10.166966,0.096157,3.723082,0.963966,-0.015357,-0.018860,-0.015432,0.999586,
51,407550651,-0.346176,-0.320307,10.201663,-0.859921,3.451190,0.586217,-0.015337,-0.019443,-0.015834,0.999569,
52,407567318,-0.382240,-0.313209,10.261875,-1.621527,2.961398,0.281349,-0.015276,-0.019953,-0.016347,0.999552,
53,407583985,-0.424856,-0.303109,10.294818,-2.264534,1.978203,-0.091604,-0.015165,-0.020318,-0.016952,0.999536,
54,407600652,-0.462837,-0.303020,10.303750,-2.580224,1.004076,-0.306866,-0.015026,-0.020540,-0.017601,0.999522,
55,407617319,-0.474171,-0.315515,10.279821,-2.721580,-0.100671,-0.677533,-0.014836,-0.020600,-0.018269,0.999512,
56,407633986,-0.466632,-0.336000,10.252957,-2.586089,-0.995245,-0.898622,-0.014616,-0.020530,-0.018916,0.999505,
57,407650653,-0.441524,-0.378817,10.296617,-2.206278,-1.947795,-1.335497,-0.014335,-0.020321,-0.019507,0.999502,
58,407667320,-0.410912,-0.389303,10.304729,-1.902306,-2.701000,-1.511636,-0.014029,-0.020002,-0.020053,0.999502,
59,407683987,-0.362007,-0.423857,10.296856,-1.210047,-3.239175,-1.673432,-0.013698,-0.019607,-0.020498,0.999505,
60,407700654,-0.344049,-0.448424,10.303653,0.116378,-3.307842,-1.657948,-0.013367,-0.019204,-0.020749,0.999512,
61,407717321,-0.293909,-0.467969,10.285867,1.961607,-3.105105,-1.515273,-0.013050,-0.018835,-0.020732,0.999524,
62,407733988,-0.273565,-0.429026,10.213894,3.911104,-2.829307,-1.420634,-0.012741,-0.018509,-0.020432,0.999540,
63,407750655,-0.207643,-0.387812,10.166558,5.388612,-2.226141,-1.166005,-0.012464,-0.018275,-0.019917,0.999558,
64,407767322,-0.169833,-0.363825,10.090948,6.298375,-1.342490,-0.992979,-0.012206,-0.018171,-0.019271,0.999576,
65,407783989,-0.172637,-0.342072,10.062247,6.983144,-0.167251,-0.848382,-0.011965,-0.018240,-0.018528,0.999592,
66,407800656,-0.184247,-0.296588,10.196606,7.309948,0.482947,-0.771992,-0.011732,-0.018404,-0.017737,0.999606,
67,407817323,-0.209357,-0.259631,10.358664,7.482015,0.991423,-0.726645,-0.011504,-0.018642,-0.016922,0.999618,
68,407833990,-0.247272,-0.239605,10.442748,7.163930,1.101340,-0.726274,-0.011276,-0.018895,-0.016154,0.999629,
69,407850657,-0.310196,-0.212806,10.551265,6.167609,0.998159,-0.677879,-0.011059,-0.019132,-0.015529,0.999636,
70,407867324,-0.362779,-0.194912,10.538443,4.402714,0.626608,-0.894011,-0.010815,-0.019312,-0.015161,0.999641,
71,407883991,-0.352191,-0.190736,10.485048,2.356452,0.052884,-1.098337,-0.010550,-0.019404,-0.015091,0.999643,
72,407900658,-0.353564,-0.197235,10.440316,0.393866,-0.625577,-1.055947,-0.010298,-0.019395,-0.015304,0.999643,
73,407917325,-0.356509,-0.194336,10.324095,-1.292609,-1.089603,-0.889824,-0.010075,-0.019316,-0.015761,0.999640,
74,407933992,-0.350551,-0.214330,10.233344,-2.719864,-1.152802,-0.668620,-0.009889,-0.019227,-0.016425,0.999632,
75,407950659,-0.346664,-0.248566,10.063823,-4.162512,-0.716182,-0.507580,-0.009729,-0.019199,-0.017298,0.999620,
76,407967326,-0.322147,-0.277647,9.968999,-5.307592,-0.046807,-0.325089,-0.009596,-0.019267,-0.018338,0.999601,
77,407983993,-0.302612,-0.313751,9.939674,-6.091571,0.740303,-0.156686,-0.009489,-0.019450,-0.019493,0.999577,
78,408000660,-0.317001,-0.345115,9.975948,-6.645485,1.288543,-0.050380,-0.009397,-0.019711,-0.020728,0.999548,
79,408017327,-0.333376,-0.371245,10.045013,-6.777455,1.486542,0.175095,-0.009337,-0.020002,-0.021983,0.999516,
80,408033994,-0.404269,-0.427901,10.164285,-6.954323,1.383016,0.446782,-0.009318,-0.020278,-0.023262,0.999481,
81,408050661,-0.434041,-0.507680,10.331591,-7.219785,0.856649,0.571989,-0.009320,-0.020478,-0.024578,0.999446,
82,408067328,-0.441376,-0.619957,10.393184,-7.278028,0.094748,0.474917,-0.009310,-0.020566,-0.025902,0.999411,
83,408083995,-0.451929,-0.671021,10.455243,-7.090160,-0.586288,0.342474,-0.009283,-0.020556,-0.027198,0.999377,
84,408100662,-0.432576,-0.704285,10.485684,-6.310394,-1.356359,0.109834,-0.009223,-0.020433,-0.028380,0.999347,
85,408117329,-0.435321,-0.751368,10.457498,-5.135231,-2.134012,0.052807,-0.009155,-0.020199,-0.029391,0.999323,
86,408133996,-0.423220,-0.799972,10.334009,-4.124144,-2.739407,0.033277,-0.009082,-0.019878,-0.030254,0.999305,
87,408150663,-0.395418,-0.825320,10.187868,-2.837375,-2.837849,-0.175639,-0.008977,-0.019544,-0.030930,0.999291,
88,408167330,-0.358162,-0.859005,10.047272,-1.344615,-2.381853,-0.129498,-0.008872,-0.019279,-0.031390,0.999283,
89,408183997,-0.349158,-0.884375,10.005298,0.555431,-1.868421,-0.108521,-0.008762,-0.019090,-0.031575,0.999282,
90,408200664,-0.333246,-0.858664,9.996550,2.479687,-1.348317,-0.007825,-0.008659,-0.018980,-0.031480,0.999288,
91,408217331,-0.343992,-0.838119,10.010442,4.176619,-1.043602,0.272052,-0.008591,-0.018918,-0.031138,0.999300,
92,408233998,-0.347469,-0.826194,10.092567,5.460365,-0.953932,0.417967,-0.008540,-0.018871,-0.030610,0.999318,
93,408250665,-0.344338,-0.821918,10.166317,6.149014,-0.888261,0.537041,-0.008504,-0.018835,-0.029982,0.999338,
94,408267332,-0.360085,-0.814392,10.230308,6.292062,-0.870217,0.605068,-0.008477,-0.018802,-0.029332,0.999358,
95,408283999,-0.357152,-0.769116,10.329076,6.161847,-0.895343,0.626058,-0.008454,-0.018765,-0.028701,0.999377,
96,408300666,-0.365271,-0.751638,10.440780,5.728134,-1.253486,0.681151,-0.008442,-0.018676,-0.028133,0.999395,
97,408317333,-0.364106,-0.711870,10.421779,5.105501,-1.640852,0.737076,-0.008441,-0.018530,-0.027655,0.999411,
98,408334000,-0.353052,-0.703064,10.360868,4.177067,-1.776574,0.825850,-0.008456,-0.018364,-0.027312,0.999424,
99,408350667,-0.319273,-0.687333,10.300757,3.079152,-1.496217,0.940543,-0.008490,-0.018238,-0.027128,0.999431,
100,408367334,-0.314232,-0.670912,10.201384,2.230245,-0.888120,1.005638,-0.008533,-0.018199,-0.027068,0.999433,
101,408384001,-0.292113,-0.633885,10.109550,1.572997,-0.432611,1.171070,-0.008600,-0.018226,-0.027104,0.999431,
102,408400668,-0.284304,-0.601506,10.070154,1.005625,0.071376,1.407476,-0.008700,-0.018327,-0.027222,0.999425,
103,408417335,-0.287055,-0.574467,10.032174,0.554316,0.485329,1.689420,-0.008841,-0.018488,-0.027406,0.999415,
104,408434002,-0.302512,-0.580810,10.019600,0.031382,0.938059,2.026317,-0.009031,-0.018716,-0.027665,0.999402,
105,408450669,-0.299520,-0.591584,10.058940,-0.441307,1.200768,2.192812,-0.009245,-0.018982,-0.027993,0.999386,
106,408467336,-0.308839,-0.592720,10.119995,-1.017067,0.806768,2.480622,-0.009504,-0.019191,-0.028403,0.999368,
107,408484003,-0.303108,-0.617832,10.237574,-1.233917,0.418505,2.707755,-0.009799,-0.019345,-0.028843,0.999350,
108,408500670,-0.298585,-0.641404,10.305320,-1.576961,-0.038009,2.977918,-0.010135,-0.019433,-0.029332,0.999331,
109,408517337,-0.328794,-0.653956,10.380145,-1.752011,-0.669670,3.065347,-0.010487,-0.019429,-0.029845,0.999312,
110,408534004,-0.314469,-0.694137,10.381230,-1.652480,-1.425526,3.083635,-0.010846,-0.019315,-0.030342,0.999295,
111,408550671,-0.303867,-0.700610,10.361944,-1.041092,-2.302659,3.027595,-0.011198,-0.019075,-0.030749,0.999284,
112,408567338,-0.291530,-0.682911,10.328029,-0.115974,-3.008929,2.956045,-0.011540,-0.018733,-0.031021,0.999278,
113,408584005,-0.265707,-0.708110,10.276656,1.310621,-3.326924,2.924285,-0.011875,-0.018347,-0.031085,0.999279,
114,408600672,-0.259509,-0.701415,10.246868,2.822283,-3.398921,2.724955,-0.012178,-0.017952,-0.030930,0.999287,
115,408617339,-0.254039,-0.677729,10.236817,4.170189,-3.295151,2.440756,-0.012436,-0.017574,-0.030579,0.999302,
116,408634006,-0.279855,-0.621994,10.189160,5.365240,-3.267374,2.186217,-0.012653,-0.017200,-0.030056,0.999321,
117,408650673,-0.251890,-0.578496,10.135179,6.076915,-3.131422,2.047230,-0.012847,-0.016847,-0.029429,0.999344,
118,408667340,-0.243666,-0.558213,10.138982,6.488344,-2.972098,1.900405,-0.013019,-0.016518,-0.028744,0.999367,
119,408684007,-0.253359,-0.548144,10.162193,6.452166,-2.805462,1.753055,-0.013169,-0.016211,-0.028064,0.999389,
120,408700674,-0.249517,-0.517659,10.233081,6.227723,-2.618438,1.502192,-0.013282,-0.015931,-0.027418,0.999410,
121,408717341,-0.235654,-0.503255,10.280951,5.828151,-2.620692,1.207645,-0.013353,-0.015648,-0.026830,0.999429,
122,408734008,-0.264001,-0.503202,10.319131,5.057926,-2.439955,0.922768,-0.013384,-0.015389,-0.026355,0.999446,
123,408750675,-0.264513,-0.501003,10.357059,4.189860,-2.179654,0.729981,-0.013387,-0.015165,-0.026008,0.999458,
124,408767342,-0.284089,-0.490614,10.391121,3.249964,-1.779045,0.420029,-0.013346,-0.014997,-0.025798,0.999467,
125,408784009,-0.279530,-0.484182,10.411233,2.417525,-1.639443,0.209377,-0.013276,-0.014846,-0.025710,0.999472,
126,408800676,-0.273474,-0.479554,10.363501,1.702342,-1.386326,0.072337,-0.013187,-0.014730,-0.025726,0.999475,
127,408817343,-0.277773,-0.493714,10.254954,1.337348,-0.974525,-0.015201,-0.013084,-0.014674,-0.025797,0.999475,
128,408834010,-0.258744,-0.470952,10.145272,0.902393,-0.358578,-0.108867,-0.012966,-0.014705,-0.025932,0.999473,
129,408850677,-0.250177,-0.476497,10.067317,0.738792,0.199145,-0.031401,-0.012857,-0.014818,-0.026091,0.999468,
130,408867344,-0.274972,-0.461182,10.078340,0.609064,0.594388,0.035083,-0.012757,-0.014988,-0.026270,0.999462,
131,408884011,-0.293318,-0.459090,10.073156,0.392816,0.771371,0.143297,-0.012673,-0.015184,-0.026480,0.999455,
132,408900678,-0.300498,-0.459002,10.080741,0.263074,0.601405,0.256594,-0.012605,-0.015355,-0.026709,0.999447,
133,408917345,-0.324959,-0.458960,10.137982,-0.071511,0.239127,0.271027,-0.012542,-0.015474,-0.026985,0.999439,
134,408934012,-0.341356,-0.492755,10.203317,-0.250185,-0.384280,0.249717,-0.012480,-0.015501,-0.027287,0.999431,
135,408950679,-0.361301,-0.511273,10.320695,-0.388391,-1.129559,0.288021,-0.012425,-0.015420,-0.027606,0.999424,
136,408967346,-0.334196,-0.548504,10.389620,-0.473886,-2.047223,0.180909,-0.012360,-0.015205,-0.027937,0.999419,
137,408984013,-0.280102,-0.574016,10.378835,-0.692068,-2.652541,0.130529,-0.012289,-0.014902,-0.028298,0.999414,
138,409000680,-0.241734,-0.604460,10.317783,-1.019232,-2.960239,0.056931,-0.012210,-0.014552,-0.028707,0.999409,
139,409017347,-0.199868,-0.619067,10.262714,-1.013085,-2.893903,0.040180,-0.012128,-0.014213,-0.029114,0.999403,
140,409034014,-0.170993,-0.643217,10.217923,-0.874930,-2.651734,0.020548,-0.012042,-0.013909,-0.029502,0.999397,
141,409050681,-0.150555,-0.639315,10.148266,-0.331480,-2.268530,0.216421,-0.011981,-0.013662,-0.029811,0.999391,
142,409067348,-0.129142,-0.623003,10.146496,0.224156,-1.911527,0.343434,-0.011937,-0.013469,-0.030040,0.999388,
143,409084015,-0.160878,-0.637871,10.170605,0.566841,-1.658794,0.562717,-0.011923,-0.013314,-0.030219,0.999385,
144,409100682,-0.163604,-0.653977,10.235603,0.600714,-1.496038,0.761639,-0.011937,-0.013183,-0.030393,0.999381,
145,409117349,-0.189680,-0.674061,10.273685,0.548925,-1.375095,0.662940,-0.011936,-0.013069,-0.030575,0.999377,
146,409134016,-0.169282,-0.722164,10.324604,0.223900,-1.296425,0.656511,-0.011935,-0.012967,-0.030804,0.999371,
147,409150683,-0.157050,-0.772622,10.343934,0.251318,-1.101717,0.557095,-0.011918,-0.012892,-0.031029,0.999366,
148,409167350,-0.169638,-0.810384,10.337567,0.382007,-0.829800,0.436562,-0.011881,-0.012856,-0.031237,0.999360,
149,409184017,-0.159985,-0.823256,10.299485,0.924305,-0.316496,0.301865,-0.011823,-0.012895,-0.031367,0.999356,
150,409200684,-0.167122,-0.827388,10.270950,1.630472,0.217650,0.280811,-0.011757,-0.013013,-0.031395,0.999354,
151,409217351,-0.166995,-0.836552,10.279557,2.190507,0.899627,0.291748,-0.011688,-0.013232,-0.031343,0.999354,
152,409234018,-0.178741,-0.828044,10.208249,2.698778,1.495327,0.275202,-0.011614,-0.013537,-0.031218,0.999355,
153,409250685,-0.174557,-0.832569,10.171724,2.941164,2.048459,0.235630,-0.011531,-0.013923,-0.031059,0.999355,
154,409267352,-0.182786,-0.813281,10.115741,3.514094,2.533499,0.220647,-0.011442,-0.014381,-0.030818,0.999357,
155,409284019,-0.204455,-0.785464,10.113457,3.891581,2.883990,0.110916,-0.011335,-0.014889,-0.030523,0.999360,
156,409300686,-0.228401,-0.772121,10.129309,4.329616,3.154710,0.165080,-0.011235,-0.015438,-0.030164,0.999364,
157,409317353,-0.231958,-0.748740,10.150224,4.439737,3.153570,0.237718,-0.011143,-0.015987,-0.029789,0.999367,
158,409334020,-0.248817,-0.730428,10.155981,4.227690,2.920072,0.299790,-0.011063,-0.016502,-0.029445,0.999370,
159,409350687,-0.259988,-0.709167,10.225502,3.535007,2.462886,0.231648,-0.010976,-0.016949,-0.029200,0.999371,
160,409367354,-0.286593,-0.705042,10.257939,2.944314,1.730759,0.045213,-0.010866,-0.017288,-0.029041,0.999371,
161,409384021,-0.313091,-0.692189,10.288843,2.412172,0.572783,-0.111364,-0.010740,-0.017458,-0.028958,0.999372,
162,409400688,-0.317969,-0.672533,10.284011,2.218053,-0.601002,-0.106523,-0.010620,-0.017456,-0.028901,0.999375,
163,409417355,-0.337995,-0.643517,10.282423,2.325332,-1.866948,-0.152857,-0.010499,-0.017270,-0.028827,0.999381,
164,409434022,-0.332944,-0.616749,10.263265,2.622901,-2.903853,-0.093141,-0.010390,-0.016935,-0.028708,0.999392,
165,409450689,-0.325554,-0.568545,10.193328,2.984744,-3.890684,-0.070320,-0.010287,-0.016456,-0.028534,0.999406,
166,409467356,-0.326629,-0.557959,10.159473,3.410376,-4.678774,0.121872,-0.010214,-0.015865,-0.028297,0.999423,
167,409484023,-0.292196,-0.553493,10.151797,4.036671,-5.471117,0.164517,-0.010150,-0.015159,-0.027968,0.999444,
168,409500690,-0.270955,-0.551560,10.156988,4.825747,-5.940598,0.318295,-0.010108,-0.014387,-0.027523,0.999468,
169,409517357,-0.269702,-0.556120,10.151753,5.478706,-6.231060,0.541152,-0.010098,-0.013575,-0.026981,0.999494,
170,409534024,-0.243530,-0.543420,10.224584,5.962131,-6.544442,0.545147,-0.010089,-0.012718,-0.026369,0.999522,
171,409550691,-0.215118,-0.533369,10.303722,6.161014,-6.730723,0.676105,-0.010100,-0.011834,-0.025728,0.999549,
172,409567358,-0.199893,-0.517812,10.369940,6.379491,-6.821164,0.770449,-0.010123,-0.010939,-0.025054,0.999576,
173,409584025,-0.183511,-0.487931,10.418414,6.421868,-6.678718,0.885412,-0.010164,-0.010064,-0.024374,0.999602,
174,409600692,-0.134810,-0.475307,10.368522,6.347105,-6.222172,0.919042,-0.010207,-0.009256,-0.023706,0.999625,
175,409617359,-0.097380,-0.437580,10.325294,6.238633,-5.455327,1.107487,-0.010276,-0.008559,-0.023054,0.999646,
176,409634026,-0.067084,-0.390537,10.270050,6.235970,-4.326895,1.187744,-0.010353,-0.008027,-0.022404,0.999664,
177,409650693,-0.054003,-0.346011,10.235703,6.223536,-2.909335,1.304398,-0.010442,-0.007702,-0.021758,0.999680,
178,409667360,-0.041073,-0.328731,10.180631,5.925826,-1.431865,1.481471,-0.010553,-0.007591,-0.021157,0.999693,
179,409684027,-0.023293,-0.314517,10.158731,5.427312,-0.063097,1.651475,-0.010684,-0.007679,-0.020630,0.999702,
180,409700694,-0.029164,-0.293014,10.177854,4.450610,1.129014,1.601159,-0.010806,-0.007939,-0.020247,0.999706,
181,409717361,-0.051884,-0.289483,10.240755,3.152623,1.912353,1.593987,-0.010926,-0.008311,-0.020054,0.999706,
182,409734028,-0.068865,-0.301085,10.286629,1.676293,2.381321,1.411689,-0.011019,-0.008748,-0.020076,0.999701,
183,409750695,-0.106331,-0.317961,10.354944,0.308998,2.569857,1.240494,-0.011089,-0.009209,-0.020298,0.999691,
184,409767362,-0.119908,-0.341049,10.386077,-0.970030,2.514111,1.094411,-0.011140,-0.009660,-0.020705,0.999678,
185,409784029,-0.125339,-0.338967,10.406197,-2.365371,2.179506,1.052240,-0.011187,-0.010060,-0.021315,0.999661,
186,409800696,-0.154752,-0.410502,10.352713,-3.893592,1.618268,0.867380,-0.011211,-0.010375,-0.022146,0.999639,
187,409817363,-0.179808,-0.447289,10.273519,-5.191823,1.160774,0.692997,-0.011213,-0.010621,-0.023166,0.999613,
188,409834030,-0.150059,-0.503262,10.201733,-6.070722,0.693739,0.413421,-0.011178,-0.010797,-0.024313,0.999585,
189,409850697,-0.146306,-0.547159,10.193147,-6.043342,0.288277,0.208417,-0.011115,-0.010913,-0.025455,0.999556,
190,409867364,-0.135873,-0.577472,10.138413,-5.577358,0.020010,0.145218,-0.011042,-0.010991,-0.026529,0.999528,
191,409884031,-0.145423,-0.609214,10.134551,-4.490432,0.020279,0.164363,-0.010971,-0.011071,-0.027446,0.999503,
192,409900698,-0.178156,-0.610192,10.151834,-3.380428,-0.005712,0.136112,-0.010893,-0.011148,-0.028200,0.999482,
193,409917365,-0.176162,-0.608290,10.129274,-2.498135,-0.182055,0.119912,-0.010813,-0.011201,-0.028827,0.999464,
194,409934032,-0.167935,-0.649415,10.182507,-1.539759,-0.375418,0.011494,-0.010716,-0.011227,-0.029314,0.999451,
195,409950699,-0.164645,-0.653856,10.263454,-0.383358,-0.809541,-0.137156,-0.010597,-0.011191,-0.029632,0.999443,
196,409967366,-0.187682,-0.670843,10.320296,0.754544,-1.112078,-0.296377,-0.010454,-0.011113,-0.029784,0.999441,
197,409984033,-0.225421,-0.652365,10.350901,1.730029,-1.416754,-0.313371,-0.010309,-0.010991,-0.029795,0.999444,
198,410000700,-0.223798,-0.645655,10.384467,2.508040,-1.840887,-0.456598,-0.010144,-0.010808,-0.029692,0.999450,
199,410017367,-0.211711,-0.643856,10.326775,3.073261,-2.064960,-0.556474,-0.009965,-0.010593,-0.029506,0.999460,
200,410034034,-0.207753,-0.641398,10.275926,3.500187,-2.249960,-0.644057,-0.009772,-0.010352,-0.029259,0.999472,
201,410050701,-0.201000,-0.615922,10.220103,3.852452,-2.311956,-0.804354,-0.009556,-0.010101,-0.028960,0.999485,
202,410067368,-0.184875,-0.573310,10.154858,4.293412,-2.087179,-0.856002,-0.009331,-0.009884,-0.028597,0.999500,
203,410084035,-0.175156,-0.552883,10.122821,4.465517,-1.758286,-0.862533,-0.009104,-0.009714,-0.028210,0.999515,
